1: f:[to:0] cu:[to:0 c:4276233333 ti:0 cf:0] ca:[to:0 ti:0] cl:[to:0 c:4294967278 ti:4294911728 in:0]
3: f:[to:4300] cu:[to:0 c:0 ti:0 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
5: f:[to:8600] cu:[to:0 c:0 ti:0 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
7: f:[to:9600] cu:[to:11200 c:7000 ti:142 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
9: f:[to:9600] cu:[to:35700 c:11300 ti:88 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
11: f:[to:9600] cu:[to:42800 c:0 ti:140 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
13: f:[to:9600] cu:[to:42800 c:0 ti:140 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
15: f:[to:9600] cu:[to:49600 c:6800 ti:735 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
17: f:[to:9600] cu:[to:70800 c:16200 ti:61 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
19: f:[to:9600] cu:[to:92600 c:17100 ti:58 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
21: f:[to:9600] cu:[to:92600 c:0 ti:58 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
23: f:[to:9600] cu:[to:103000 c:10400 ti:384 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
25: f:[to:9600] cu:[to:113600 c:6800 ti:147 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
27: f:[to:9600] cu:[to:136100 c:13100 ti:76 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
29: f:[to:9600] cu:[to:162600 c:15600 ti:64 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
31: f:[to:9600] cu:[to:179500 c:4000 ti:249 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
33: f:[to:9600] cu:[to:201000 c:11000 ti:90 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
35: f:[to:9600] cu:[to:222800 c:9700 ti:103 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
37: f:[to:9600] cu:[to:242200 c:8000 ti:125 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
39: f:[to:9600] cu:[to:268200 c:12200 ti:81 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
41: f:[to:9600] cu:[to:290300 c:11900 ti:83 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
43: f:[to:9600] cu:[to:311600 c:12500 ti:79 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
45: f:[to:9600] cu:[to:334200 c:12400 ti:80 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
47: f:[to:9600] cu:[to:352300 c:11300 ti:88 cf:0] ca:[to:0 ti:0] cl:[to:0 c:0 ti:4294911728 in:0]
